latitude,longitude,brightness
-24.929,122.309,392.4
-24.93,122.32,370.7
-24.939,122.318,345.8
-24.941,122.329,340.7
7.6,125.967,313.1
-2.916,129.299,311.8
-2.574,121.376,341.7
-2.575,121.388,347.5
-2.582,121.381,337.2
38.361,128.004,313.4
-9.177,-63.33,308.3
-9.501,-65.588,307.9
-9.502,-65.597,303.5
-9.492,-65.59,305.9
-9.493,-65.599,306.7
5.527,-67.965,306.4
5.526,-67.974,311.4
5.604,-69.802,310.3
6.219,-69.236,306.5
8.65,-62.778,309.5
8.691,-63.163,304.1
-35.203,-57.307,315.9
-34.037,-66.205,304.4
-34.039,-66.227,302.3
-31.2,-65.307,311.3
-31.202,-65.325,321.5
-31.204,-65.342,313.8
-31.189,-65.309,320
-31.19,-65.326,325.3
-31.192,-65.344,407.5
-31.194,-65.362,332.7
-31.179,-65.328,328.5
-31.181,-65.346,358
-31.182,-65.363,302.7
-31.167,-65.33,392
-31.169,-65.347,349.1
-31.156,-65.332,341.6
-31.158,-65.349,311.3
-31.17,-65.336,354.2
-31.157,-65.32,322.2
-31.159,-65.338,379.7
-31.144,-65.304,308.1
-31.004,-64.397,300.3
-30.778,-66.567,302.7
-30.767,-66.591,300.5
-29.074,-67.568,320.4
-29.076,-67.59,308.1
-29.023,-67.592,325.1
-29.026,-67.598,317.2
-29.013,-67.598,302.5
-28.584,-66.128,307.6
-27.471,-60.274,321.9
-25.959,-60.94,300.8
-25.577,-59.133,307.5
-24.54,-60.858,304.4
-24.423,-60.691,304
-24.359,-61.196,309
-23.763,-59.745,306.6
-23.758,-59.752,300.4
-23.748,-59.754,302.6
-23.873,-61.528,306.1
-23.875,-61.538,304.8
-23.866,-61.54,301.7
-23.4,-60.871,305.5
-23.402,-60.881,302.6
-23.419,-61.06,331.9
-23.42,-61.069,307.4
-23.156,-61.591,305.7
-21.599,-60.527,303.3
-21.59,-60.529,305.6
-21.591,-60.539,302
-20.74,-60.875,305.6
-18.733,-62.739,312.4
-16.691,-60.247,308.5
-16.693,-60.259,308.3
-16.555,-60.684,320.8
-16.557,-60.695,300
-13.774,-59.592,300.2
-13.027,-65.836,305.5
-13.029,-65.846,302.5
-12.581,-65.86,307.6
-12.253,-65.756,303.9
-12.244,-65.757,315.5
-11.967,-64.105,302.3
-10.37,-63.37,309.4
14.645,-11.458,306.7
13.308,-9.527,304.6
14.079,-14.905,305.3
13.65,-13.609,305.7
12.076,-11.478,302.7
11.923,-11.686,319.2
11.922,-11.676,333.8
11.913,-11.678,318.8
11.912,-11.668,301.7
51.169,3.819,320
43.541,-5.825,301.4
40.962,-8.011,315.7
35.805,-0.25,303.2
9.189,-64.868,304.6
9.393,-64.542,305.4
9.65,-63.529,320.1
9.648,-63.546,307.1
9.645,-63.562,316.8
9.643,-63.579,315.1
9.624,-63.724,337
9.622,-63.74,307.9
9.657,-63.564,317.1
9.655,-63.58,303.1
9.651,-63.613,317.3
9.649,-63.629,345
9.726,-63.46,303
9.738,-63.462,308.7
9.735,-63.479,321.7
9.774,-63.276,303
9.858,-63.329,303.5
9.856,-63.347,309.3
10.059,-64.854,305.9
10.057,-64.868,307.6
10.055,-64.881,307.8
10.064,-64.896,317.7
