latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.456,140.023,333.7,1.5,1.2,2017-11-20,0115,T,75,6.0NRT,305.9,26.4,D
-18.457,140.037,345.8,1.6,1.2,2017-11-20,0115,T,90,6.0NRT,306.8,64.1,D
-18.461,140.067,331.4,1.6,1.2,2017-11-20,0115,T,71,6.0NRT,307.4,20.5,D
-18.463,140.081,332.3,1.6,1.2,2017-11-20,0115,T,73,6.0NRT,307.4,23.7,D
-18.464,140.096,329,1.6,1.2,2017-11-20,0115,T,63,6.0NRT,306.2,16.1,D
-18.895,144.053,323.5,3.1,1.7,2017-11-20,0115,T,67,6.0NRT,297.9,63.6,D
-18.82,142.392,336.7,2.3,1.5,2017-11-20,0115,T,84,6.0NRT,303.3,78.6,D
-18.815,142.387,335.1,2.3,1.5,2017-11-20,0115,T,77,6.0NRT,303.9,77.5,D
-18.929,142.555,344.4,2.4,1.5,2017-11-20,0115,T,86,6.0NRT,302.4,143.3,D
-18.923,142.549,332.3,2.4,1.5,2017-11-20,0115,T,59,6.0NRT,300.2,79.7,D
-18.937,142.547,348.6,2.4,1.5,2017-11-20,0115,T,93,6.0NRT,301.1,175.9,D
-17.902,133.738,367.4,1.1,1,2017-11-20,0115,T,100,6.0NRT,310.6,93.7,D
-17.903,133.748,349,1.1,1,2017-11-20,0115,T,92,6.0NRT,307.1,42.3,D
-17.911,133.737,337.9,1.1,1,2017-11-20,0115,T,38,6.0NRT,311.5,20.6,D
-17.913,133.747,339.2,1.1,1,2017-11-20,0115,T,82,6.0NRT,309.4,23.3,D
-17.914,133.757,337,1.1,1,2017-11-20,0115,T,80,6.0NRT,307.2,19.9,D
-17.916,133.767,339.9,1.1,1,2017-11-20,0115,T,84,6.0NRT,306.6,26.8,D
-17.923,133.755,354.8,1.1,1,2017-11-20,0115,T,96,6.0NRT,311,58.8,D
-17.925,133.765,374.5,1.1,1,2017-11-20,0115,T,100,6.0NRT,311,125.2,D
-17.927,133.775,346.1,1.1,1,2017-11-20,0115,T,90,6.0NRT,307.4,38.8,D
-17.928,133.786,333.1,1.1,1,2017-11-20,0115,T,74,6.0NRT,303.9,15.3,D
-17.944,133.787,331.3,1.1,1,2017-11-20,0115,T,61,6.0NRT,303.4,13.9,D
